06,0,14.2,9.1,71,12,18,24.1,101.64,8
06,1,13.8,9.5,75,11,16,24.1,101.67,8
06,2,13.1,9.6,79,11,15,24.1,101.69,8
06,3,11.9,9.8,87,13,13,32.2,101.72,8
06,4,11.9,9.5,85,13,13,48.3,101.74,9
06,5,12.0,9.6,85,12,13,48.3,101.75,9
06,6,13.2,9.7,79,10,19,48.3,101.76,9
06,7,14.5,10.0,74,10,15,48.3,101.81,8
06,8,15.8,10.2,69,12,10,48.3,101.83,8
06,9,17.2,9.9,62,14,13,48.3,101.84,8
06,10,18.1,10.3,60,13,16,48.3,101.81,9
06,11,19.0,10.1,56,13,11,48.3,101.80,9
06,12,19.8,13.6,67,22,13,48.3,101.79,9
06,13,19.9,12.8,63,21,21,48.3,101.74,9
06,14,20.4,12.5,60,22,14,48.3,101.71,9
06,15,20.9,11.4,54,22,15,48.3,101.67,9
06,16,19.7,10.3,54,22,14,48.3,101.63,8
06,17,18.9,10.3,57,25,8,48.3,101.59,8
06,18,18.7,9.6,55,24,8,48.3,101.54,8
06,19,19.0,10.1,56,30,5,32.2,101.52,8
06,20,16.0,10.8,71,29,6,32.2,101.49,8
06,21,16.4,11.0,70,32,3,32.2,101.47,8
06,22,17.5,10.5,63,13,5,32.2,101.46,7
06,23,16.4,11.0,70,10,7,32.2,101.45,7
